Site;Monument Description;Height of Monument (m);Monument Foundation;Foundation Depth (m);Geologic Characteristic;Sta;Lat(deg);Long(deg);Hgt(m);X(m);Y(m);Z(m);Dtbeg;Dtend;Dtmod;NumSol;StaOrigName
GBN4;PERMANENT STATION UNSPECIFIED;:;:;;;GBN4;44.568;237.8979;1342.485;-2419262.6362;-3856314.5417;4454220.5928;2009-07-18;2019-09-23;2022-05-12;633.0;
GBN5;PERMANENT STATION UNSPECIFIED;:;:;;;GBN5;44.6021;237.764;1329.378;-2426842.9488;-3848392.9816;4456910.4079;2009-07-21;2019-09-20;2022-05-12;770.0;
GBN6;PERMANENT STATION UNSPECIFIED;:;:;;;GBN6;44.4249;238.5771;823.667;-2378996.4083;-3893926.4129;4442506.0364;2009-07-19;2019-07-22;2022-05-12;727.0;
GCES;STEEL MAST;8.5;ROOF PARAPET WALL;1.22;BEDROCK;GCES;36.048;247.8708;2110.96;-1945472.2722;-4784135.3764;3733741.7539;2015-12-08;2022-09-24;2022-10-01;2389.0;
GDAC;STEEL MAST;:  Bi-directional braced mast;:;;;GDAC;37.7755;257.82;1132.65;-1065179.3445;-4934983.6085;3886467.7515;1996-10-18;2009-11-10;2022-05-12;4176.0;
GDEC;Wyatt/Agnew drilled-braced;:;: Sediments;;;GDEC;35.1894;240.1363;566.233;-2598643.232;-4525816.0059;3655386.935;2000-06-02;2022-09-24;2022-10-01;6367.0;
GEIG;Steel Pin in Rock;:  UNKNOWN;:;;;GEIG;39.3837;240.299;1726.694;-2446521.6548;-4289033.9524;4026431.2149;2010-11-13;2015-01-29;2022-05-12;489.0;
GEMF;Steel Pin in Rock;:  UNKNOWN;:;;;GEMF;37.745;242.7015;1857.523;-2316645.9273;-4488707.6596;3884241.761;2005-05-14;2020-10-15;2022-05-12;254.0;
GEND;Steel Pin in Rock;:  UNKNOWN;:;;;GEND;39.0895;242.8381;1791.811;-2263567.7994;-4411641.5877;4001163.1774;2007-10-18;2020-10-22;2022-05-12;486.0;
GEOR;Steel Pin in Rock;:  UNKNOWN;:;;;GEOR;38.2223;243.3123;1805.054;-2253997.2863;-4483972.7633;3925977.1786;2006-09-27;2020-07-13;2022-05-12;306.0;
GERN;STEEL MAST;1.5;STEEL MAST AT THE ROOFTOP;: LIMESTONE/SANDSTONE BEDROCK;;GERN;43.3174;357.3213;78.93;4642811.4343;-217223.1577;4353278.7284;2007-05-31;2022-03-11;2022-05-12;4983.0;
GHRP;Wyatt/Agnew drilled-braced;:;: BEDROCK;;;GHRP;34.2039;242.6021;628.617;-2430187.6976;-4688729.5516;3565527.048;2001-07-16;2022-09-24;2022-10-01;7161.0;
GIBR;STEEL PLATE AND CARBON FIBRE PIPE;2.0;QUAY;:;;GIBR;36.1482;354.635;45.647;5133765.721;-482118.7676;3741507.7402;2009-06-09;2022-09-17;2022-09-26;2899.0;
GILL;Steel Pin in Rock;:  UNKNOWN;:;;;GILL;38.6729;241.4915;2036.121;-2380570.559;-4382913.4387;3965302.9318;2005-09-23;2021-07-12;2022-05-12;710.0;
GIRL;Steel Pin in Rock;:  UNKNOWN;:;;;GIRL;39.6284;239.9947;1610.02;-2460574.9613;-4260938.8395;4047316.7612;2013-03-30;2021-12-14;2022-05-12;370.0;
GISA;STEEL MAST;11.73;ROOF;.76                :;;GISA;34.0693;242.7817;343.471;-2419201.034;-4703565.6652;3553009.3654;2011-12-08;2022-08-25;2022-09-03;3755.0;
GLCA;Steel Pin in Rock;:  UNKNOWN;:;;;GLCA;37.0364;248.3789;1175.525;-1878631.7368;-4739771.708;3821326.9577;2010-07-22;2020-07-08;2022-05-12;1980.0;
GLPT;STEEL MAST;:  ROOF;:;;;GLPT;37.2485;283.5005;-22.051;1186726.1655;-4942863.9616;3839372.5238;1997-06-08;2006-07-26;2022-05-12;3119.0;
GLRS;Wyatt/Agnew drilled-braced;:;:;;;GLRS;33.2748;244.4786;-48.656;-2299767.4022;-4816937.907;3479453.5518;1999-01-13;2022-09-24;2022-10-01;7223.0;
GMAG;SHALLOW FOUNDATION MAST;:;:;;;GMAG;34.2914;243.6174;866.738;-2344381.271;-4726335.7064;3573689.3916;2015-06-10;2022-09-24;2022-10-01;2605.0;
GMAS;PILLAR;2.6;stainless steel, Concreate base;1.8                :;;GMAS;27.7648;344.3657;195.471;5439112.6001;-1522134.9789;2953556.1947;2002-10-09;2018-04-30;2022-05-12;4778.0;
